Lead Gene name	Lead Protein ID	Lead Protein name	Mol. weight [kDa]	Sequence length (AA)	Total MS/MS Count	Organellar profiles in how many maps?	Compartment Prediction	Prediction Confidence	Prediction Score	Sub compart-ment Prediction	Cytosolic Pool	Non-cytosolic pool1 	Global classifier2	Estimated Copy number per cell	Copy number Abundance Percentile	Median cellular con-centration [nM]	 Contribution to cell protein mass [ppm]
DCTN5	Q9BTE1	Dynactin subunit 5	20.1	182	247	6	Endosome	Medium	8.2		78%	22%	Broad distribution	157,335	60.3	97.3	9.8
DNAJB1	P25685	DnaJ homolog subfamily B member 1	38.0	340	1593	6	Endosome	Medium	5.9		64%	36%	Organellar and Cytosolic	1,007,270	85.8	623.1	119.1
DOCK6	Q96HP0	Dedicator of cytokinesis protein 6	229.6	2047	205	6	Endosome	Medium	9.1		25%	75%	Organellar and Cytosolic	8,799	17.3	5.4	6.3
DTNBP1	Q96EV8	Dysbindin	39.5	351	182	5	Endosome	Medium	9.2		73%	27%	Organellar and Cytosolic	94,009	52.0	58.2	11.5
EDIL3	O43854	EGF-like repeat and discoidin I-like domain-containing protein 3	53.8	480	206	5	Endosome	Medium	14.4		0%	100%	Mostly Organellar	13,186	22.1	8.2	2.2
EHD1	Q9H4M9	EH domain-containing protein 1	60.6	534	3204	6	Endosome	Medium	9.7		38%	62%	Organellar and Cytosolic	875,252	84.5	541.4	165.0
FRRS1	Q6ZNA5-2	Ferric-chelate reductase 1	70.5	626	88	3	Endosome	Medium	13		0%	100%	Mostly Organellar	5,670	12.7	3.5	1.2
GYS1	P13807	Glycogen [starch] synthase, muscle	83.8	737	2255	6	Endosome	Medium	10.6		9%	91%	Mostly Organellar	212,591	65.1	131.5	55.4
HOMER3	Q9NSC5	Homer protein homolog 3	39.8	361	587	6	Endosome	Medium	8.5		59%	41%	Organellar and Cytosolic	140,468	58.5	86.9	17.4
HPS5	Q9UPZ3	Hermansky-Pudlak syndrome 5 protein	127.5	1129	184	6	Endosome	Medium	8.8		87%	13%	Mostly Cytosolic	34,013	35.5	21.0	13.5
HSPA8	P11142	Heat shock cognate 71 kDa protein	70.9	646	9672	6	Endosome	Medium	11.7		72%	28%	Broad distribution	26,044,575	99.5	16111.7	5740.4
ITCH	Q96J02	E3 ubiquitin-protein ligase Itchy homolog	102.8	903	539	6	Endosome	Medium	13.9		53%	47%	Organellar and Cytosolic	62,800	45.1	38.8	20.1
LIX1L	Q8IVB5	LIX1-like protein	36.6	337	105	3	Endosome	Medium	9.3		4%	96%	Mostly Organellar	20,403	27.8	12.6	2.3
MAP4K3	Q8IVH8	Mitogen-activated protein kinase kinase kinase kinase 3	101.3	894	246	6	Endosome	Medium	9		16%	84%	Organellar and Cytosolic	10,682	19.6	6.6	3.4
MEGF9	Q9H1U4	Multiple epidermal growth factor-like domains protein 9	63.0	602	63	2	Endosome	Medium	10.2		0%	100%	Mostly Organellar	4,439	10.6	2.7	0.9
MTOR	P42345	Serine/threonine-protein kinase mTOR	288.9	2549	1711	6	Endosome	Medium	13.8		69%	31%	Organellar and Cytosolic	69,312	46.8	42.9	62.3
MYCBP2	O75592	E3 ubiquitin-protein ligase MYCBP2	510.1	4640	1650	6	Endosome	Medium	6.4		47%	53%	Organellar and Cytosolic	15,702	24.3	9.7	24.9
NDFIP1	Q9BT67	NEDD4 family-interacting protein 1	24.9	221	189	3	Endosome	Medium	4.3		0%	100%	Mostly Organellar	27,035	32.0	16.7	2.1
PDE8B	O95263	High affinity cAMP-specific and IBMX-insensitive 3,5-cyclic phosphodiesterase 8B	99.0	885	174	2	Endosome	Medium	5.1		96%	4%	Mostly Cytosolic	61,820	44.9	38.2	19.0
PEX19	P40855	Peroxisomal biogenesis factor 19	32.8	299	489	6	Endosome	Medium	5.9		71%	29%	Nuclear and Cytosolic	434,930	75.9	269.1	44.4
PIK3C3	Q8NEB9	Phosphatidylinositol 3-kinase catalytic subunit type 3	101.6	887	1008	6	Endosome	Medium	14.7		56%	44%	Organellar and Cytosolic	72,219	47.5	44.7	22.8
PLEKHA1	Q9HB21	Pleckstrin homology domain-containing family A member 1	45.6	404	179	3	Endosome	Medium	4.6		23%	77%	Organellar and Cytosolic	22,571	29.5	14.0	3.2
PLEKHH3	Q7Z736	Pleckstrin homology domain-containing family H member 3	85.3	793	72	3	Endosome	Medium	15.5		0%	100%	Mostly Organellar	4,342	10.5	2.7	1.2
PODXL	O00592	Podocalyxin	58.6	558	1193	6	Endosome	Medium	14.1		1%	99%	Mostly Organellar	596,978	80.1	369.3	108.8
RAB11B	Q15907	Ras-related protein Rab-11B	24.5	218	2175	6	Endosome	Medium	9.2		26%	74%	Organellar and Cytosolic	4,316,570	95.7	2670.3	328.6
RAB11FIP1	Q6WKZ4	Rab11 family-interacting protein 1	137.2	1283	1073	6	Endosome	Medium	12.6		30%	70%	Organellar and Cytosolic	59,050	44.1	36.5	25.2
RAB14	P61106	Ras-related protein Rab-14	23.9	215	2659	6	Endosome	Medium	8.9		42%	58%	Organellar and Cytosolic	3,264,879	94.5	2019.7	242.6
RAB34	P0DI83	Ras-related protein Rab-34, isoform NARR	21.1	198	210	6	Endosome	Medium	9.2		20%	80%	Organellar and Cytosolic	58,185	43.9	36.0	3.8
SCAMP1	O15126	Secretory carrier-associated membrane protein 1	37.9	338	1224	6	Endosome	Medium	10.5		9%	91%	Mostly Organellar	237,847	67.1	147.1	28.0
SCAMP4	Q969E2-2	Secretory carrier-associated membrane protein 4	22.0	195	470	6	Endosome	Medium	6		3%	97%	Mostly Organellar	164,940	61.1	102.0	11.3
SLC12A4	Q9UP95	Solute carrier family 12 member 4	120.7	1085	1427	6	Endosome	Medium	11.2		7%	93%	Mostly Organellar	71,935	47.4	44.5	27.0
SNX30	Q5VWJ9	Sorting nexin-30	49.7	437	238	4	Endosome	Medium	9.6		9%	91%	Mostly Organellar	19,429	27.2	12.0	3.0
SPAST	Q9UBP0	Spastin	67.2	616	929	6	Endosome	Medium	8.9		18%	82%	Organellar and Cytosolic	75,151	48.3	46.5	15.7
SPG21	Q9NZD8	Maspardin	35.0	308	468	6	Endosome	Medium	7		78%	22%	Organellar and Cytosolic	205,396	64.5	127.1	22.3
SREBF1	P36956	Sterol regulatory element-binding protein 1	121.7	1147	225	4	Endosome	Medium	4.6		0%	100%	Mostly Organellar	7,254	15.0	4.5	2.7
STK25	O00506	Serine/threonine-protein kinase 25	48.1	426	51	1	Endosome	Medium	4.7		18%	82%	Broad distribution	5,316	12.1	3.3	0.8
SYPL1	Q16563-2	Synaptophysin-like protein 1	26.4	241	1156	6	Endosome	Medium	8		25%	75%	Organellar and Cytosolic	603,979	80.2	373.6	49.6
TMEM106B	Q9NUM4	Transmembrane protein 106B	31.1	274	666	6	Endosome	Medium	5.3		0%	100%	Mostly Organellar	115,295	55.7	71.3	11.2
TMEM9	Q9P0T7	Transmembrane protein 9	20.6	183	470	6	Endosome	Medium	15.6		3%	97%	Mostly Organellar	237,284	67.0	146.8	15.2
TNFSF9	P41273	Tumor necrosis factor ligand superfamily member 9	26.6	254	191	3	Endosome	Medium	7.7		0%	100%	Mostly Organellar	20,493	27.9	12.7	1.7
TRAPPC6B	Q86SZ2	Trafficking protein particle complex subunit 6B	18.0	158	258	6	Endosome	Medium	5.5		26%	74%	Organellar and Cytosolic	63,136	45.2	39.1	3.5
USP8	P40818	Ubiquitin carboxyl-terminal hydrolase 8	127.5	1118	1798	6	Endosome	Medium	7.8		62%	38%	Organellar and Cytosolic	240,134	67.3	148.6	95.2
VAMP4	O75379	Vesicle-associated membrane protein 4	16.4	141	139	5	Endosome	Medium	13.6		0%	100%	Mostly Organellar	18,178	26.2	11.2	0.9
APP	P05067	Amyloid beta A4 protein	86.9	770	1618	6	Endosome	Low	1.6		0%	100%	Mostly Organellar	122,900	56.5	76.0	33.2
ARF4	P18085	ADP-ribosylation factor 4	20.5	180	1003	6	Endosome	Low	1.4		71%	29%	Broad distribution	2,825,720	93.6	1748.0	180.2
ARL3	P36405	ADP-ribosylation factor-like protein 3	20.5	182	337	5	Endosome	Low	3.4		95%	5%	Mostly Cytosolic	1,111,484	86.7	687.6	70.7
ARL8B	Q9NVJ2	ADP-ribosylation factor-like protein 8B	21.5	186	138	2	Endosome	Low	2.4		6%	94%	Mostly Organellar	128,579	57.1	79.5	8.6
ATP6V0C	P27449	V-type proton ATPase 16 kDa proteolipid subunit	15.7	155	134	2	Endosome	Low	1.3		0%	100%	Mostly Organellar	49,678	41.3	30.7	2.4
ATP6V1C1	P21283	V-type proton ATPase subunit C 1	43.9	382	1142	6	Endosome	Low	1.9		77%	23%	Broad distribution	693,848	81.9	429.2	94.8
ATP6V1H	Q9UI12	V-type proton ATPase subunit H	55.9	483	512	6	Endosome	Low	2.2		85%	15%	Mostly Cytosolic	205,787	64.6	127.3	35.8
BLMH	Q13867	Bleomycin hydrolase	52.6	455	543	6	Endosome	Low	2.4		96%	4%	Mostly Cytosolic	879,600	84.6	544.1	143.7
BLOC1S4	Q9NUP1	Biogenesis of lysosome-related organelles complex 1 subunit 4	23.4	217	128	2	Endosome	Low	2.2		76%	24%	Organellar and Cytosolic	54,453	42.8	33.7	4.0
CCDC85C	A6NKD9	Coiled-coil domain-containing protein 85C	45.2	419	65	2	Endosome	Low	3.7		68%	32%	Organellar and Cytosolic	7,256	15.1	4.5	1.0
CHMP1B	Q7LBR1	Charged multivesicular body protein 1b	22.1	199	313	6	Endosome	Low	2.1		44%	56%	Broad distribution	672,312	81.4	415.9	46.2
CHMP4B	Q9H444	Charged multivesicular body protein 4b	25.0	224	579	6	Endosome	Low	1.7		90%	10%	Mostly Cytosolic	1,550,827	89.6	959.4	120.3
CHTF8	P0CG12	Chromosome transmission fidelity protein 8 homolog isoform 2	51.4	524	115	2	Endosome	Low	1		1%	99%	Broad distribution	47,125	40.4	29.2	7.5
DAP	P51397	Death-associated protein 1	11.2	102	780	6	Endosome	Low	1.6		72%	28%	Organellar and Cytosolic	1,103,571	86.7	682.7	38.3
DDX20	Q9UHI6	Probable ATP-dependent RNA helicase DDX20	92.2	824	2052	6	Endosome	Low	1.8		60%	40%	Organellar and Cytosolic	452,292	76.4	279.8	129.7
EFTUD1	Q7Z2Z2	Elongation factor Tu GTP-binding domain-containing protein 1	125.4	1120	514	6	Endosome	Low	1.6		88%	12%	Mostly Cytosolic	90,651	51.5	56.1	35.3
EHD4	Q9H223	EH domain-containing protein 4	61.2	541	1302	6	Endosome	Low	1.6		22%	78%	Broad distribution	275,887	69.2	170.7	52.5
FAM120B	Q96EK7	Constitutive coactivator of peroxisome proliferator-activated receptor gamma	103.8	910	158	1	Endosome	Low	1.3		54%	46%	Organellar and Cytosolic	21,474	28.6	13.3	6.9
GEMIN2	O14893	Gem-associated protein 2	31.6	280	353	6	Endosome	Low	3.1		66%	34%	Organellar and Cytosolic	143,881	58.9	89.0	14.1
GEMIN4	P57678	Gem-associated protein 4	120.0	1058	2104	6	Endosome	Low	1.4		67%	33%	Organellar and Cytosolic	351,146	72.9	217.2	131.0
GEMIN6	Q8WXD5	Gem-associated protein 6	18.8	167	231	3	Endosome	Low	1.6		83%	17%	Broad distribution	308,138	71.1	190.6	18.0
GEMIN8	Q9NWZ8	Gem-associated protein 8	28.6	242	180	6	Endosome	Low	1.7		63%	37%	Organellar and Cytosolic	52,115	42.1	32.2	4.6
HDLBP	Q00341	Vigilin	141.5	1268	10015	6	Endosome	Low	1.9		15%	85%	Organellar and Cytosolic	1,257,350	87.8	777.8	552.9
HPS6	Q86YV9	Hermansky-Pudlak syndrome 6 protein	83.0	775	266	5	Endosome	Low	2.8		73%	27%	Organellar and Cytosolic	74,378	48.1	46.0	19.2
INPP5K	Q9BT40	Inositol polyphosphate 5-phosphatase K	51.1	448	169	6	Endosome	Low	2.5		34%	66%	Organellar and Cytosolic	24,436	30.4	15.1	3.9
KIAA1467	A2RU67	Uncharacterized protein KIAA1467	67.0	622	128	4	Endosome	Low	3.5		0%	100%	Mostly Organellar	6,146	13.4	3.8	1.3
KIF16B	Q96L93	Kinesin-like protein KIF16B	152.0	1317	43	1	Endosome	Low	3.1		44%	56%	Organellar and Cytosolic	1,406	2.9	0.9	0.7
KLHL13	Q9P2N7	Kelch-like protein 13	73.9	655	320	5	Endosome	Low	1.4		84%	16%	Broad distribution	75,596	48.4	46.8	17.4
LRCH1	Q9Y2L9-2	Leucine-rich repeat and calponin homology domain-containing protein 1	77.2	696	124	1	Endosome	Low	2.2		26%	74%	Broad distribution	12,236	21.3	7.6	2.9
LTN1	O94822	E3 ubiquitin-protein ligase listerin	200.6	1766	1353	6	Endosome	Low	2.7		67%	33%	Organellar and Cytosolic	67,812	46.4	41.9	42.3
MFSD1	Q9H3U5	Major facilitator superfamily domain-containing protein 1	51.2	465	95	1	Endosome	Low	1.5		0%	100%	Mostly Organellar	14,576	23.3	9.0	2.3
MON1B	Q7L1V2	Vacuolar fusion protein MON1 homolog B	59.2	547	398	6	Endosome	Low	1.2		0%	100%	Mostly Organellar	25,702	31.1	15.9	4.7
MYO5A	Q9Y4I1	Unconventional myosin-Va	215.4	1855	1037	6	Endosome	Low	1.1		5%	95%	Mostly Organellar	45,719	40.0	28.3	30.6
NAGPA	Q9UK23	N-acetylglucosamine-1-phosphodiester alpha-N-acetylglucosaminidase	56.1	515	133	5	Endosome	Low	2.6		0%	100%	Mostly Organellar	14,238	23.0	8.8	2.5
NAPG	Q99747	Gamma-soluble NSF attachment protein	34.7	312	873	6	Endosome	Low	1.9		44%	56%	Organellar and Cytosolic	212,708	65.1	131.6	23.0
NEMF	O60524	Nuclear export mediator factor NEMF	123.0	1076	1271	6	Endosome	Low	3.4		74%	26%	Organellar and Cytosolic	201,455	64.1	124.6	77.0
PFKFB2	O60825	6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 2	58.5	505	695	6	Endosome	Low	1.4		86%	14%	Mostly Cytosolic	301,093	70.7	186.3	54.7
PI4K2B	Q8TCG2	Phosphatidylinositol 4-kinase type 2-beta	54.7	481	105	1	Endosome	Low	1.8		4%	96%	Mostly Organellar	6,429	13.9	4.0	1.1
PIK3CB	P42338	Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit beta isoform	122.8	1070	108	1	Endosome	Low	1.4		71%	29%	Organellar and Cytosolic	16,541	24.9	10.2	6.3
PKP3	Q9Y446	Plakophilin-3	87.1	797	2433	6	Endosome	Low	1.1		10%	90%	Mostly Organellar	247,231	67.6	152.9	66.9
PTPN23	Q9H3S7	Tyrosine-protein phosphatase non-receptor type 23	179.0	1636	573	6	Endosome	Low	3.5		92%	8%	Mostly Cytosolic	100,377	53.4	62.1	55.8
RB1CC1	Q8TDY2	RB1-inducible coiled-coil protein 1	183.1	1594	483	6	Endosome	Low	3.2		60%	40%	Organellar and Cytosolic	26,242	31.5	16.2	14.9
RPTOR	Q8N122	Regulatory-associated protein of mTOR	149.0	1335	952	6	Endosome	Low	1.7		83%	17%	Broad distribution	145,006	58.9	89.7	67.2
RUFY1	Q96T51	RUN and FYVE domain-containing protein 1	79.8	708	676	6	Endosome	Low	1.4		93%	7%	Mostly Cytosolic	271,845	69.0	168.2	67.5
SFT2D1	Q8WV19	Vesicle transport protein SFT2A	17.8	159	84	1	Endosome	Low	3.3		0%	100%	Mostly Organellar	4,299	10.3	2.7	0.2
SLC18B1	Q6NT16	MFS-type transporter SLC18B1	48.9	456	72	1	Endosome	Low	1.5		0%	100%	Mostly Organellar	3,525	8.6	2.2	0.5
SLC39A11	Q8N1S5	Zinc transporter ZIP11	35.4	342	169	5	Endosome	Low	1.5		56%	44%	Organellar and Cytosolic	76,652	48.6	47.4	8.4
SMN1	Q16637	Survival motor neuron protein	31.8	294	487	6	Endosome	Low	1.6		55%	45%	Organellar and Cytosolic	203,712	64.4	126.0	20.2
SNX27	Q96L92	Sorting nexin-27	61.3	541	1984	6	Endosome	Low	3.6		14%	86%	Mostly Organellar	282,681	69.6	174.9	53.8
SRP9	P49458	Signal recognition particle 9 kDa protein	10.1	86	1043	6	Endosome	Low	2.5		47%	53%	Organellar and Cytosolic	10,718,902	98.3	6630.9	337.0
STX6	O43752	Syntaxin-6	29.2	255	497	6	Endosome	Low	2.9		5%	95%	Mostly Organellar	119,838	56.2	74.1	10.9
TMEM106C	Q9BVX2	Transmembrane protein 106C	27.9	250	131	4	Endosome	Low	3.3		0%	100%	Mostly Organellar	5,965	13.2	3.7	0.5
TMEM55B	Q86T03-2	Type 1 phosphatidylinositol 4,5-bisphosphate 4-phosphatase	30.2	284	274	6	Endosome	Low	3.9		1%	99%	Mostly Organellar	35,007	35.8	21.7	3.3
TOM1L1	O75674	TOM1-like protein 1	53.0	476	137	3	Endosome	Low	3.2		87%	13%	Mostly Cytosolic	57,364	43.6	35.5	9.4
TPRG1L	Q5T0D9	Tumor protein p63-regulated gene 1-like protein	30.2	272	121	5	Endosome	Low	1.2		68%	32%	Organellar and Cytosolic	35,630	36.1	22.0	3.3
VAMP2	P63027	Vesicle-associated membrane protein 2	12.7	116	338	6	Endosome	Low	3.8		0%	100%	Mostly Organellar	65,318	45.8	40.4	2.6
VAMP7	P51809	Vesicle-associated membrane protein 7	24.9	220	731	6	Endosome	Low	3.6		19%	81%	Organellar and Cytosolic	308,630	71.1	190.9	23.9
WDR7	Q9Y4E6	WD repeat-containing protein 7	163.8	1490	80	1	Endosome	Low	1		56%	44%	Organellar and Cytosolic	5,869	13.1	3.6	3.0
WWP2	O00308	NEDD4-like E3 ubiquitin-protein ligase WWP2	98.9	870	592	6	Endosome	Low	2.8		19%	81%	Organellar and Cytosolic	35,746	36.2	22.1	11.0
ZC3HAV1	Q7Z2W4-3	Zinc finger CCCH-type antiviral protein 1	67.6	624	88	1	Endosome	Low	1.1		13%	87%	Mostly Organellar	4,226	10.2	2.6	0.9
AP5Z1	O43299	AP-5 complex subunit zeta-1	88.6	807	95	1	Endosome	Very Low	0.7		88%	12%	Mostly Cytosolic	11,871	20.9	7.3	3.3
APH1A	Q96BI3	Gamma-secretase subunit APH-1A	29.0	265	119	5	Endosome	Very Low	0.8		0%	100%	Mostly Organellar	48,370	40.8	29.9	4.4
BTBD1	Q9H0C5	BTB/POZ domain-containing protein 1	52.8	482	160	2	Endosome	Very Low	0.4		66%	34%	Organellar and Cytosolic	26,275	31.5	16.3	4.3
C5orf42	Q9H799	Uncharacterized protein C5orf42	361.7	3197	36	1	Endosome	Very Low	0.8		55%	45%	Organellar and Cytosolic	913	1.5	0.6	1.0
COMMD10	Q9Y6G5	COMM domain-containing protein 10	23.0	202	119	1	Endosome	Very Low	0.8		94%	6%	Mostly Cytosolic	235,045	66.8	145.4	16.8
CPNE8	Q86YQ8	Copine-8	63.1	564	1675	6	Endosome	Very Low	0.9		47%	53%	Organellar and Cytosolic	392,083	74.4	242.6	76.9
CRKL	P46109	Crk-like protein	33.8	303	385	4	Endosome	Very Low	0.7		95%	5%	Mostly Cytosolic	784,001	83.4	485.0	82.3
DCTN6	O00399	Dynactin subunit 6	20.7	190	115	3	Endosome	Very Low	0		86%	14%	Mostly Cytosolic	158,483	60.5	98.0	10.2
DMXL1	Q9Y485	DmX-like protein 1	337.8	3027	228	2	Endosome	Very Low	0.8		88%	12%	Mostly Cytosolic	8,612	17.0	5.3	9.0
EGFL7	Q9UHF1	Epidermal growth factor-like protein 7	29.6	273	105	2	Endosome	Very Low	0.3		0%	100%	Mostly Organellar	10,740	19.7	6.6	1.0
EPDR1	Q9UM22	Mammalian ependymin-related protein 1	25.4	224	197	2	Endosome	Very Low	0.9		0%	100%	Mostly Organellar	18,967	26.8	11.7	1.5
GINM1	Q9NU53	Glycoprotein integral membrane protein 1	36.8	330	101	1	Endosome	Very Low	0.9		0%	100%	Mostly Organellar	4,879	11.4	3.0	0.6
GM2A	P17900	Ganglioside GM2 activator	20.8	193	120	5	Endosome	Very Low	0.9		0%	100%	Mostly Organellar	18,690	26.7	11.6	1.2
HERC2	O95714	E3 ubiquitin-protein ligase HERC2	527.2	4834	1234	6	Endosome	Very Low	0.5		63%	37%	Organellar and Cytosolic	28,274	32.7	17.5	46.3
ITM2B	Q9Y287	Integral membrane protein 2B	30.3	266	163	2	Endosome	Very Low	0.9		0%	100%	Mostly Organellar	36,897	36.7	22.8	3.5
LAMA1	P25391	Laminin subunit alpha-1	337.1	3075	2503	6	Endosome	Very Low	0.4		57%	43%	Organellar and Cytosolic	58,740	44.0	36.3	61.6
MAL2	Q969L2	Protein MAL2	19.1	176	118	2	Endosome	Very Low	0.1		0%	100%	Mostly Organellar	80,574	49.5	49.8	4.8
MLST8	Q9BVC4	Target of rapamycin complex subunit LST8	35.9	326	314	6	Endosome	Very Low	0.9		78%	22%	Organellar and Cytosolic	128,058	57.0	79.2	14.3
NMD3	Q96D46	60S ribosomal export protein NMD3	57.6	503	1173	6	Endosome	Very Low	0.9		53%	47%	Organellar and Cytosolic	584,720	79.8	361.7	104.7
PRSS23	O95084	Serine protease 23	43.0	383	764	6	Endosome	Very Low	0.9		32%	68%	Organellar and Cytosolic	104,852	54.2	64.9	14.0
RBSN	Q9H1K0	Rabenosyn-5	88.9	784	276	4	Endosome	Very Low	0.2		20%	80%	Organellar and Cytosolic	11,899	20.9	7.4	3.3
RRAGA	Q7L523	Ras-related GTP-binding protein A	36.6	313	200	2	Endosome	Very Low	0.4		84%	16%	Broad distribution	109,061	54.8	67.5	12.4
SERINC1	Q9NRX5	Serine incorporator 1	50.5	453	459	6	Endosome	Very Low	0.4		26%	74%	Organellar and Cytosolic	47,869	40.7	29.6	7.5
SERINC3	Q13530	Serine incorporator 3	52.6	473	285	6	Endosome	Very Low	0.1		9%	91%	Mostly Organellar	28,248	32.7	17.5	4.6
SIDT2	Q8NBJ9	SID1 transmembrane family member 2	94.5	832	113	1	Endosome	Very Low	0.2		14%	86%	Mostly Organellar	3,950	9.7	2.4	1.2
SLC20A2	Q08357	Sodium-dependent phosphate transporter 2	70.4	652	69	1	Endosome	Very Low	0.5		0%	100%	Mostly Organellar	4,772	11.2	3.0	1.0
SLC38A2	Q96QD8	Sodium-coupled neutral amino acid transporter 2	56.0	506	1310	6	Endosome	Very Low	0.5		8%	92%	Mostly Organellar	1,128,130	86.9	697.9	196.5
STARD3	Q14849	StAR-related lipid transfer protein 3	50.5	445	74	1	Endosome	Very Low	0.8		0%	100%	Mostly Organellar	10,188	19.0	6.3	1.6
TACC1	O75410	Transforming acidic coiled-coil-containing protein 1	87.8	805	276	6	Endosome	Very Low	0.5		36%	64%	Organellar and Cytosolic	38,331	37.3	23.7	10.5
THBS1	P07996	Thrombospondin-1	129.4	1170	233	6	Endosome	Very Low	0.6		66%	34%	Organellar and Cytosolic	14,355	23.1	8.9	5.8
TMUB2	Q71RG4	Transmembrane and ubiquitin-like domain-containing protein 2	33.8	321	102	1	Endosome	Very Low	0.3		0%	100%	Mostly Organellar	40,542	38.1	25.1	4.3
TRAF5	O00463	TNF receptor-associated factor 5	64.4	557	50	1	Endosome	Very Low	0.8		30%	70%	Organellar and Cytosolic	5,822	13.0	3.6	1.2
TTC4	O95801	Tetratricopeptide repeat protein 4	44.7	387	169	2	Endosome	Very Low	0.3		98%	2%	Mostly Cytosolic	231,770	66.5	143.4	32.2
TTC5	Q8N0Z6	Tetratricopeptide repeat protein 5	48.9	440	246	2	Endosome	Very Low	0.6		75%	25%	Organellar and Cytosolic	56,760	43.5	35.1	8.6
VAMP3	Q15836	Vesicle-associated membrane protein 3	11.3	100	1084	6	Endosome	Very Low	0.7		11%	89%	Mostly Organellar	1,926,654	91.2	1191.9	67.7
VIMP	Q9BQE4	Selenoprotein S	21.2	189	142	2	Endosome	Very Low	0.8		0%	100%	Mostly Organellar	41,489	38.5	25.7	2.7
VIPAS39	Q9H9C1	Spermatogenesis-defective protein 39 homolog	57.0	493	83	2	Endosome	Very Low	0.7		85%	15%	Mostly Cytosolic	28,407	32.8	17.6	5.0
WWP1	Q9H0M0	NEDD4-like E3 ubiquitin-protein ligase WWP1	105.2	922	94	5	Endosome	Very Low	0.7		8%	92%	Mostly Organellar	3,913	9.5	2.4	1.3
ZFAND5	O76080	AN1-type zinc finger protein 5	23.1	213	215	3	Endosome	Very Low	0.4		64%	36%	Organellar and Cytosolic	97,833	52.8	60.5	7.0
ZNF622	Q969S3	Zinc finger protein 622	54.3	477	1421	6	Endosome	Very Low	0.3		57%	43%	Organellar and Cytosolic	451,186	76.4	279.1	76.1
ABHD12	Q8N2K0	Monoacylglycerol lipase ABHD12	45.1	398	541	6	ER	Very High	75.3	Membrane	0%	100%	Mostly Organellar	96,302	52.5	59.6	13.5
ABHD6	Q9BV23	Monoacylglycerol lipase ABHD6	38.3	337	298	6	ER	Very High	62.5	Membrane	0%	100%	Mostly Organellar	38,580	37.5	23.9	4.6
ACSL3	O95573	Long-chain-fatty-acid--CoA ligase 3	80.4	720	3873	6	ER	Very High	80.1	Membrane	0%	100%	Mostly Organellar	865,127	84.4	535.2	216.3
ADAM10	O14672	Disintegrin and metalloproteinase domain-containing protein 10	84.1	748	1511	6	ER	Very High	68.5	Membrane	0%	100%	Mostly Organellar	117,573	55.9	72.7	30.8
ADPGK	Q9BRR6	ADP-dependent glucokinase	54.1	497	798	6	ER	Very High	78.6	Membrane	0%	100%	Mostly Organellar	129,359	57.2	80.0	21.8
AGPAT1	Q99943	1-acyl-sn-glycerol-3-phosphate acyltransferase alpha	31.7	283	439	6	ER	Very High	66.8	Membrane	0%	100%	Mostly Organellar	75,637	48.5	46.8	7.5
AGPAT3	Q9NRZ7	1-acyl-sn-glycerol-3-phosphate acyltransferase gamma	43.4	376	330	6	ER	Very High	70.9	Membrane	0%	100%	Mostly Organellar	49,009	41.1	30.3	6.6
AGR2	O95994	Anterior gradient protein 2 homolog	20.0	175	258	6	ER	Very High	53.8	Lumen	3%	97%	Mostly Organellar	81,847	49.7	50.6	5.1
ALDH3A2	P51648	Fatty aldehyde dehydrogenase	54.8	485	1613	6	ER	Very High	92.2	Membrane	1%	99%	Mostly Organellar	721,743	82.4	446.5	123.1
ALG2	Q9H553	Alpha-1,3/1,6-mannosyltransferase ALG2	47.1	416	626	6	ER	Very High	53.2	Membrane	0%	100%	Mostly Organellar	89,935	51.4	55.6	13.2
ALG5	Q9Y673	Dolichyl-phosphate beta-glucosyltransferase	36.9	324	513	6	ER	Very High	76.1	Membrane	0%	100%	Mostly Organellar	167,252	61.4	103.5	19.2
ALG6	Q9Y672	Dolichyl pyrophosphate Man9GlcNAc2 alpha-1,3-glucosyltransferase	58.2	507	445	6	ER	Very High	64	Lumen	0%	100%	Mostly Organellar	107,543	54.6	66.5	19.5
ANKLE2	Q86XL3	Ankyrin repeat and LEM domain-containing protein 2	104.1	938	2528	6	ER	Very High	69.8	Membrane	13%	87%	Mostly Organellar	179,626	62.4	111.1	58.1
ANO10	Q9NW15	Anoctamin-10	76.3	660	329	6	ER	Very High	56.7	Membrane	32%	68%	Organellar and Cytosolic	38,373	37.4	23.7	9.1
APMAP	Q9HDC9	Adipocyte plasma membrane-associated protein	46.5	416	997	6	ER	Very High	75.1	Membrane	0%	100%	Mostly Organellar	520,074	78.2	321.7	75.1
APOL2	Q9BQE5	Apolipoprotein L2	37.1	337	626	6	ER	Very High	88.7	Membrane	13%	87%	Mostly Organellar	236,219	66.9	146.1	27.2
ARL6IP5	O75915	PRA1 family protein 3	21.6	188	506	6	ER	Very High	54.4	Membrane	2%	98%	Mostly Organellar	539,451	78.7	333.7	36.2
ASPH	Q12797	Aspartyl/asparaginyl beta-hydroxylase	85.9	758	4577	6	ER	Very High	60.9	Membrane	0%	100%	Mostly Organellar	1,460,506	89.1	903.5	389.9
